中国国际航空, CA5824, 北京, 2024-10-01 22:02, 哈尔滨, 2024-10-02 02:25, 1353, 35
海南航空,HU6233,基辅,2024-11-01 19:00,莫斯科,2023-10-02 00:00,6419.01,157
东方航空,MU7829,伦敦,2024-11-01 03:00,西雅图,2024-11-01 11:00,7754.16,174
中国国际航空,CA5936,西雅图,2024-11-01 08:00,基辅,2024-11-01 14:00,7013.67,13
英国航空,BA8900,纽约,2024-11-01 11:00,伦敦,2024-11-01 20:00,16079.88,72
东方航空,MU2668,西雅图,2024-11-01 05:00,纽约,2024-11-01 13:00,11702.64,112
联合航空,UA7909,悉尼,2024-11-01 20:00,纽约,2023-10-02 03:00,10366.14,69
中国国际航空,CA6323,基辅,2024-11-01 19:00,伦敦,2024-11-01 21:00,1380.99,43
东方航空,MU8351,莫斯科,2024-11-01 22:00,悉尼,2023-10-02 11:00,18167.04,79
美国航空,AA9496,西雅图,2024-11-01 05:00,纽约,2024-11-01 15:00,9788.70,71
海南航空,HU3741,莫斯科,2024-11-01 22:00,西雅图,2023-10-02 10:00,17199.63,77
达美航空,DL9675,伦敦,2024-11-01 02:00,基辅,2024-11-01 05:00,4549.59,152
联合航空,UA5941,基辅,2024-11-01 11:00,莫斯科,2024-11-01 18:00,12355.59,110
美国航空,AA6891,悉尼,2024-11-01 12:00,伦敦,2024-11-01 22:00,14778.39,47
春秋航空,9C9628,莫斯科,2024-11-01 01:00,纽约,2024-11-01 07:00,4066.26,2
春秋航空,9C7551,西雅图,2024-11-01 10:00,纽约,2024-11-01 17:00,10414.20,130
澳大利亚航空,QF3350,伦敦,2024-11-01 14:00,悉尼,2024-11-01 23:00,14328.72,169
春秋航空,9C3444,西雅图,2024-11-01 15:00,基辅,2024-11-01 22:00,8196.54,6
南方航空,CZ7859,伦敦,2024-11-01 12:00,悉尼,2024-11-01 22:00,11774.43,103
达美航空,DL2992,伦敦,2024-11-01 00:00,莫斯科,2024-11-01 03:00,3516.48,6
东方航空,MU1242,伦敦,2024-11-01 08:00,基辅,2024-11-01 12:00,6556.02,34
南方航空,CZ1089,西雅图,2024-11-01 11:00,基辅,2024-11-01 17:00,7994.07,126
联合航空,UA4782,莫斯科,2024-11-01 08:00,伦敦,2024-11-01 10:00,2203.59,165
海南航空,HU4308,基辅,2024-11-01 04:00,西雅图,2024-11-01 14:00,10258.53,122
东方航空,MU1836,莫斯科,2024-11-01 18:00,伦敦,2024-11-01 22:00,2839.65,121
达美航空,DL4660,西雅图,2024-11-01 10:00,纽约,2024-11-01 15:00,5955.03,170
达美航空,DL5533,基辅,2024-11-01 12:00,莫斯科,2024-11-01 20:00,8625.24,21
海南航空,HU1128,莫斯科,2024-11-01 03:00,纽约,2024-11-01 08:00,5041.05,59
春秋航空,9C1180,莫斯科,2024-11-01 09:00,西雅图,2024-11-01 21:00,11384.28,120
海南航空,HU4468,悉尼,2024-11-01 00:00,西雅图,2024-11-01 06:00,7553.73,49
达美航空,DL8670,悉尼,2024-11-01 16:00,纽约,2024-11-01 21:00,4168.77,135
春秋航空,9C4869,西雅图,2024-11-01 16:00,伦敦,2023-10-02 04:00,9315.18,62
联合航空,UA1488,悉尼,2024-11-01 15:00,基辅,2024-11-01 22:00,11967.00,151
澳大利亚航空,QF1814,西雅图,2024-11-01 08:00,伦敦,2024-11-01 23:00,10915.14,125
海南航空,HU3202,西雅图,2024-11-01 14:00,纽约,2024-11-01 20:00,7474.44,93
英国航空,BA6546,伦敦,2024-11-01 05:00,莫斯科,2024-11-01 09:00,5239.56,74
联合航空,UA1278,莫斯科,2024-11-01 14:00,悉尼,2023-10-02 00:00,9299.28,145
春秋航空,9C7758,纽约,2024-11-01 16:00,伦敦,2023-10-02 06:00,18417.81,134
澳大利亚航空,QF7107,悉尼,2024-11-01 20:00,莫斯科,2023-10-02 05:00,12912.69,103
达美航空,DL9412,纽约,2024-11-01 03:00,西雅图,2024-11-01 13:00,6569.34,53
联合航空,UA1832,基辅,2024-11-01 01:00,伦敦,2024-11-01 05:00,4387.44,1
达美航空,DL7276,伦敦,2024-11-01 00:00,悉尼,2024-11-01 05:00,6220.59,93
南方航空,CZ3237,伦敦,2024-11-01 05:00,基辅,2024-11-01 07:00,2631.84,16
英国航空,BA5175,悉尼,2024-11-01 07:00,伦敦,2024-11-01 13:00,4257.78,154
中国国际航空,CA6071,西雅图,2024-11-01 06:00,悉尼,2024-11-01 14:00,6353.22,140
美国航空,AA4889,西雅图,2024-11-01 11:00,纽约,2024-11-01 18:00,12287.49,77
联合航空,UA6101,西雅图,2024-11-01 16:00,伦敦,2023-10-02 02:00,7043.37,94
中国国际航空,CA7275,悉尼,2024-11-01 03:00,莫斯科,2024-11-01 16:00,23071.47,139
澳大利亚航空,QF4657,悉尼,2024-11-01 17:00,基辅,2024-11-01 22:00,5797.86,173
南方航空,CZ9339,西雅图,2024-11-01 01:00,莫斯科,2024-11-01 12:00,17047.23,146
英国航空,BA2828,西雅图,2024-11-01 16:00,基辅,2023-10-02 01:00,13225.62,111
美国航空,AA9275,西雅图,2024-11-01 13:00,伦敦,2023-10-02 04:00,15132.63,112
东方航空,MU5912,悉尼,2024-11-01 12:00,西雅图,2024-11-01 19:00,10812.21,58
东方航空,MU8956,伦敦,2024-11-01 20:00,基辅,2024-11-01 23:00,3382.83,16
美国航空,AA7933,悉尼,2024-11-01 04:00,西雅图,2024-11-01 09:00,7379.34,85
海南航空,HU7735,基辅,2024-11-01 14:00,西雅图,2024-11-01 19:00,8423.31,5
南方航空,CZ1575,伦敦,2024-11-01 03:00,莫斯科,2024-11-01 06:00,2697.87,74
美国航空,AA4961,基辅,2024-11-01 02:00,纽约,2024-11-01 17:00,10816.47,169
澳大利亚航空,QF6878,西雅图,2024-11-01 05:00,莫斯科,2024-11-01 19:00,25064.82,94
英国航空,BA1915,莫斯科,2024-11-01 18:00,基辅,2023-10-02 04:00,14101.50,106
春秋航空,9C1442,基辅,2024-11-01 16:00,莫斯科,2023-10-02 02:00,16042.08,140
东方航空,MU7277,基辅,2024-11-01 07:00,纽约,2024-11-01 17:00,17300.28,153
东方航空,MU8195,悉尼,2024-11-01 15:00,基辅,2024-11-01 20:00,5274.15,26
东方航空,MU7042,纽约,2024-11-01 05:00,悉尼,2024-11-01 14:00,11717.55,53
美国航空,AA5328,伦敦,2024-11-01 00:00,西雅图,2024-11-01 11:00,11366.70,31
海南航空,HU9133,伦敦,2024-11-01 14:00,悉尼,2024-11-01 21:00,8031.06,134
东方航空,MU1667,基辅,2024-11-01 18:00,伦敦,2024-11-01 22:00,4933.80,88
南方航空,CZ5936,西雅图,2024-11-01 22:00,伦敦,2023-10-02 06:00,9571.50,177
海南航空,HU5785,悉尼,2024-11-01 04:00,纽约,2024-11-01 10:00,7108.74,163
达美航空,DL5919,基辅,2024-11-01 17:00,伦敦,2024-11-01 20:00,2343.66,117
南方航空,CZ2278,基辅,2024-11-01 21:00,西雅图,2023-10-02 06:00,15360.78,37
中国国际航空,CA2346,莫斯科,2024-11-01 21:00,悉尼,2023-10-02 08:00,9059.94,139
英国航空,BA8338,莫斯科,2024-11-01 01:00,悉尼,2024-11-01 12:00,17482.65,61
海南航空,HU9462,基辅,2024-11-01 10:00,纽约,2024-11-01 18:00,5039.19,96
澳大利亚航空,QF4826,纽约,2024-11-01 09:00,西雅图,2024-11-01 17:00,13999.08,17
春秋航空,9C2466,伦敦,2024-11-01 11:00,基辅,2024-11-01 15:00,5551.38,146
东方航空,MU2921,莫斯科,2024-11-01 18:00,西雅图,2023-10-02 07:00,19718.52,76
南方航空,CZ7794,悉尼,2024-11-01 04:00,纽约,2024-11-01 14:00,8469.51,9
海南航空,HU9057,悉尼,2024-11-01 10:00,西雅图,2024-11-01 16:00,9920.70,109
澳大利亚航空,QF3744,伦敦,2024-11-01 03:00,纽约,2024-11-01 16:00,15229.86,147
中国国际航空,CA2769,伦敦,2024-11-01 11:00,莫斯科,2024-11-01 14:00,3279.18,179
联合航空,UA9366,西雅图,2024-11-01 12:00,基辅,2024-11-01 18:00,6895.56,115
南方航空,CZ8207,纽约,2024-11-01 20:00,西雅图,2023-10-02 05:00,6024.93,149
东方航空,MU9662,伦敦,2024-11-01 05:00,基辅,2024-11-01 07:00,2476.83,77
美国航空,AA7767,纽约,2024-11-01 18:00,伦敦,2023-10-02 09:00,21913.41,125
澳大利亚航空,QF5382,基辅,2024-11-01 12:00,西雅图,2024-11-01 17:00,8695.83,27
春秋航空,9C5089,悉尼,2024-11-01 20:00,伦敦,2023-10-02 05:00,13166.37,86
美国航空,AA3295,莫斯科,2024-11-01 12:00,基辅,2024-11-01 18:00,9968.79,155
英国航空,BA7417,西雅图,2024-11-01 10:00,基辅,2024-11-01 20:00,14544.72,67
海南航空,HU7719,伦敦,2024-11-01 21:00,西雅图,2023-10-02 07:00,15702.60,32
东方航空,MU6979,伦敦,2024-11-01 18:00,悉尼,2023-10-02 01:00,9599.70,107
联合航空,UA2931,纽约,2024-11-01 21:00,悉尼,2023-10-02 02:00,6314.73,85
澳大利亚航空,QF3652,伦敦,2024-11-01 12:00,悉尼,2024-11-01 17:00,7915.26,178
南方航空,CZ1670,纽约,2024-11-01 06:00,伦敦,2024-11-01 18:00,12662.31,123
南方航空,CZ8363,纽约,2024-11-01 09:00,基辅,2024-11-01 21:00,20228.52,0
英国航空,BA5195,伦敦,2024-11-01 13:00,悉尼,2024-11-01 21:00,11702.10,15
南方航空,CZ7449,莫斯科,2024-11-01 03:00,悉尼,2024-11-01 14:00,8553.96,130
春秋航空,9C2571,伦敦,2024-11-01 17:00,西雅图,2023-10-02 08:00,21849.90,77
英国航空,BA4587,纽约,2024-11-01 05:00,西雅图,2024-11-01 13:00,11033.13,16
美国航空,AA2211,西雅图,2024-11-01 21:00,悉尼,2023-10-02 02:00,3178.44,142
南方航空,CZ5046,莫斯科,2024-11-01 16:00,基辅,2024-11-01 22:00,4198.62,39
中国国际航空,CA1775,基辅,2024-11-01 20:00,悉尼,2023-10-02 06:00,15906.81,132
春秋航空,9C3525,悉尼,2024-11-01 10:00,西雅图,2024-11-01 17:00,6358.53,5
达美航空,DL5881,伦敦,2024-11-01 01:00,纽约,2024-11-01 12:00,8217.42,85
联合航空,UA9588,纽约,2024-11-01 07:00,西雅图,2024-11-01 13:00,4130.91,119
英国航空,BA3683,伦敦,2024-11-01 22:00,基辅,2023-10-02 02:00,3030.87,177
春秋航空,9C2838,基辅,2024-11-01 20:00,西雅图,2023-10-02 01:00,4419.36,161
海南航空,HU1480,西雅图,2024-11-01 17:00,基辅,2023-10-02 01:00,11735.76,69
英国航空,BA7386,伦敦,2024-11-01 05:00,悉尼,2024-11-01 11:00,6314.76,46
海南航空,HU4180,纽约,2024-11-01 05:00,基辅,2024-11-01 20:00,22035.36,136
澳大利亚航空,QF2457,西雅图,2024-11-01 13:00,莫斯科,2024-11-01 23:00,17834.31,53
英国航空,BA9436,基辅,2024-11-01 00:00,莫斯科,2024-11-01 10:00,11860.14,149
东方航空,MU3840,基辅,2024-11-01 03:00,莫斯科,2024-11-01 08:00,3790.50,77
澳大利亚航空,QF7936,莫斯科,2024-11-01 03:00,悉尼,2024-11-01 12:00,5996.91,40
南方航空,CZ5392,纽约,2024-11-01 09:00,西雅图,2024-11-01 16:00,9090.06,123
英国航空,BA6506,伦敦,2024-11-01 05:00,基辅,2024-11-01 07:00,2871.03,115
英国航空,BA9417,莫斯科,2024-11-01 22:00,伦敦,2023-10-02 00:00,3425.64,8
联合航空,UA7367,西雅图,2024-11-01 08:00,莫斯科,2024-11-01 19:00,11229.12,64
美国航空,AA4172,纽约,2024-11-01 06:00,伦敦,2024-11-01 17:00,18775.14,46
联合航空,UA6426,莫斯科,2024-11-01 14:00,西雅图,2024-11-01 22:00,6231.60,2
联合航空,UA4869,西雅图,2024-11-01 17:00,莫斯科,2023-10-02 06:00,22727.82,57
春秋航空,9C2680,伦敦,2024-11-01 18:00,基辅,2024-11-01 20:00,3144.39,168
美国航空,AA7506,伦敦,2024-11-01 00:00,莫斯科,2024-11-01 02:00,3269.94,30
达美航空,DL5870,伦敦,2024-11-01 19:00,莫斯科,2024-11-01 22:00,3672.39,171
澳大利亚航空,QF9973,悉尼,2024-11-01 13:00,莫斯科,2023-10-02 04:00,12463.95,31
达美航空,DL1858,西雅图,2024-11-01 23:00,纽约,2023-10-02 09:00,7344.39,56
联合航空,UA6677,莫斯科,2024-11-01 13:00,伦敦,2024-11-01 17:00,7157.49,16
春秋航空,9C1363,纽约,2024-11-01 17:00,西雅图,2023-10-02 02:00,6528.18,126
海南航空,HU5464,基辅,2024-11-01 12:00,西雅图,2024-11-01 20:00,8517.57,53
英国航空,BA6718,西雅图,2024-11-01 04:00,莫斯科,2024-11-01 18:00,16047.81,20
东方航空,MU2351,莫斯科,2024-11-01 16:00,基辅,2024-11-01 21:00,7049.19,22
英国航空,BA6250,伦敦,2024-11-01 10:00,悉尼,2024-11-01 16:00,10657.95,86
联合航空,UA9618,悉尼,2024-11-01 11:00,伦敦,2024-11-01 17:00,8803.38,1
澳大利亚航空,QF1731,悉尼,2024-11-01 16:00,基辅,2024-11-01 23:00,8206.08,82

