中国国际航空, CA5961, 空客A350, 北京, 2024-12-01 00:15, 东京, 2024-12-01 02:35, 2163, 75
中国国际航空, CA5768, 波音787, 拉萨, 2024-12-01 04:59, 呼和浩特, 2024-12-01 07:05, 1957, 69
南方航空, CZ5657, 波音787, 拉萨, 2024-12-01 14:08, 伦敦, 2024-12-01 22:28, 7725, 80
南方航空, CZ7078, 波音777, 拉萨, 2024-12-01 15:48, 柏林, 2024-12-01 23:21, 7004, 36
南方航空, CZ1408, 空客A330, 拉萨, 2024-12-01 18:37, 广州, 2024-12-01 21:10, 2369, 143
中国国际航空, CA6881, 波音777, 拉萨, 2024-12-01 08:13, 伦敦, 2024-12-01 16:33, 7725, 167
南方航空, CZ8059, 波音787, 拉萨, 2024-12-01 17:39, 呼和浩特, 2024-12-01 19:45, 1957, 71
中国国际航空, CA9465, 波音787, 拉萨, 2024-12-01 00:32, 广州, 2024-12-01 03:05, 2369, 13
中国国际航空, CA4392, 空客A330, 拉萨, 2024-12-01 03:37, 洛杉矶, 2024-12-01 15:03, 10609, 199
南方航空, CZ4468, 波音737, 拉萨, 2024-12-01 08:53, 成都, 2024-12-01 10:13, 1236, 174
中国国际航空, CA2337, 波音737, 拉萨, 2024-12-01 05:20, 柏林, 2024-12-01 12:53, 7004, 68
中国国际航空, CA8967, 波音737, 拉萨, 2024-12-01 03:23, 柏林, 2024-12-01 10:56, 7004, 14
南方航空, CZ2770, 空客A320, 拉萨, 2024-12-01 05:13, 巴黎, 2024-12-01 13:46, 7931, 146
中国国际航空, CA9052, 波音737, 拉萨, 2024-12-01 07:39, 伦敦, 2024-12-01 15:59, 7725, 148
中国国际航空, CA9858, 波音777, 拉萨, 2024-12-01 07:12, 合肥, 2024-12-01 10:18, 2884, 100
南方航空, CZ2598, 空客A350, 拉萨, 2024-12-01 17:21, 成都, 2024-12-01 18:41, 1236, 142
南方航空, CZ7748, 空客A330, 拉萨, 2024-12-01 07:57, 纽约, 2024-12-01 20:30, 11639, 27
中国国际航空, CA2964, 波音787, 拉萨, 2024-12-01 12:29, 昆明, 2024-12-01 13:55, 1339, 64
中国国际航空, CA3777, 空客A350, 拉萨, 2024-12-01 18:40, 成都, 2024-12-01 20:00, 1236, 158
南方航空, CZ6636, 波音787, 拉萨, 2024-12-01 05:24, 西安, 2024-12-01 07:10, 1648, 165
南方航空, CZ8387, 波音787, 拉萨, 2024-12-01 14:15, 哈尔滨, 2024-12-01 17:55, 3399, 174
中国国际航空, CA4619, 波音737, 拉萨, 2024-12-01 13:04, 巴黎, 2024-12-01 21:37, 7931, 2
中国国际航空, CA6299, 波音777, 拉萨, 2024-12-01 10:29, 东京, 2024-12-01 15:02, 4223, 143
南方航空, CZ9588, 空客A320, 拉萨, 2024-12-01 14:32, 西安, 2024-12-01 16:18, 1648, 81
南方航空, CZ3938, 空客A350, 拉萨, 2024-12-01 12:14, 巴黎, 2024-12-01 20:47, 7931, 81
中国国际航空, CA8263, 空客A320, 拉萨, 2024-12-01 03:40, 纽约, 2024-12-01 16:13, 11639, 91
南方航空, CZ5437, 波音787, 拉萨, 2024-12-01 07:00, 悉尼, 2024-12-01 17:00, 9270, 135
中国国际航空, CA1568, 空客A330, 拉萨, 2024-12-01 13:57, 悉尼, 2024-12-01 23:57, 9270, 160
中国国际航空, CA3230, 空客A320, 拉萨, 2024-12-01 08:01, 纽约, 2024-12-01 20:34, 11639, 110
中国国际航空, CA7836, 波音777, 拉萨, 2024-12-01 17:35, 呼和浩特, 2024-12-01 19:41, 1957, 157
澳洲航空, QF9102, 空客A350, 悉尼, 2024-12-02 11:16, 曼谷, 2024-12-02 19:36, 7725, 139
澳洲航空, QF9989, 空客A330, 悉尼, 2024-12-02 10:04, 南宁, 2024-12-02 17:50, 7210, 44
澳洲航空, QF6169, 波音737, 悉尼, 2024-12-02 06:55, 乌鲁木齐, 2024-12-02 18:35, 10815, 77
澳洲航空, QF7939, 波音737, 悉尼, 2024-12-02 02:40, 拉萨, 2024-12-02 12:40, 9270, 134
澳洲航空, QF2507, 波音777, 悉尼, 2024-12-02 02:03, 哈尔滨, 2024-12-02 12:36, 9785, 195
澳洲航空, QF5975, 波音737, 悉尼, 2024-12-02 01:44, 广州, 2024-12-02 10:04, 7725, 41
澳洲航空, QF8412, 空客A320, 悉尼, 2024-12-02 08:29, 西安, 2024-12-02 17:55, 8755, 25
澳洲航空, QF3500, 波音737, 悉尼, 2024-12-02 12:36, 曼谷, 2024-12-02 20:56, 7725, 113
澳洲航空, QF7260, 波音737, 悉尼, 2024-12-02 05:57, 柏林, 2024-12-02 23:57, 16686, 100
澳洲航空, QF1243, 空客A330, 悉尼, 2024-12-02 01:03, 柏林, 2024-12-02 19:03, 16686, 133
澳洲航空, QF5754, 波音777, 悉尼, 2024-12-02 01:35, 洛杉矶, 2024-12-02 14:55, 12360, 11
澳洲航空, QF2878, 波音777, 悉尼, 2024-12-02 10:51, 东京, 2024-12-02 19:31, 8034, 10
澳洲航空, QF6182, 空客A350, 悉尼, 2024-12-02 05:19, 纽约, 2024-12-02 22:59, 16377, 12
澳洲航空, QF5920, 空客A320, 悉尼, 2024-12-02 08:10, 呼和浩特, 2024-12-02 18:30, 9579, 176
澳洲航空, QF8861, 空客A320, 悉尼, 2024-12-02 02:19, 伦敦, 2024-12-02 21:05, 17407, 14
澳洲航空, QF5456, 空客A330, 悉尼, 2024-12-02 01:14, 巴黎, 2024-12-02 19:47, 17201, 43
澳洲航空, QF3376, 波音737, 悉尼, 2024-12-02 13:32, 广州, 2024-12-02 21:52, 7725, 164
澳洲航空, QF7259, 空客A320, 悉尼, 2024-12-02 00:25, 莫斯科, 2024-12-02 15:18, 13802, 55
澳洲航空, QF3303, 空客A350, 悉尼, 2024-12-02 11:15, 乌鲁木齐, 2024-12-02 22:55, 10815, 82
澳洲航空, QF4899, 波音737, 悉尼, 2024-12-02 07:29, 首尔, 2024-12-02 16:49, 8652, 12
澳洲航空, QF4540, 空客A330, 悉尼, 2024-12-02 11:20, 首尔, 2024-12-02 20:40, 8652, 114
澳洲航空, QF2774, 空客A320, 悉尼, 2024-12-02 09:44, 洛杉矶, 2024-12-02 23:04, 12360, 86
澳洲航空, QF4827, 波音737, 悉尼, 2024-12-02 01:40, 西安, 2024-12-02 11:06, 8755, 180
澳洲航空, QF6997, 空客A330, 悉尼, 2024-12-02 04:30, 伦敦, 2024-12-02 23:16, 17407, 157
澳洲航空, QF3544, 波音787, 悉尼, 2024-12-02 10:40, 哈尔滨, 2024-12-02 21:13, 9785, 182
澳洲航空, QF5547, 空客A330, 悉尼, 2024-12-02 04:13, 柏林, 2024-12-02 22:13, 16686, 184
澳洲航空, QF3563, 空客A330, 悉尼, 2024-12-01 02:53, 北京, 2024-12-01 12:53, 9270, 73
澳洲航空, QF7923, 空客A320, 悉尼, 2024-12-01 07:34, 首尔, 2024-12-01 16:54, 8652, 116
澳洲航空, QF9762, 波音787, 悉尼, 2024-12-01 08:43, 昆明, 2024-12-01 16:29, 7210, 5
澳洲航空, QF2189, 波音787, 悉尼, 2024-12-01 01:37, 曼谷, 2024-12-01 09:57, 7725, 89
澳洲航空, QF5166, 空客A330, 悉尼, 2024-12-01 09:12, 洛杉矶, 2024-12-01 22:32, 12360, 5
澳洲航空, QF9121, 波音777, 悉尼, 2024-12-01 06:57, 拉萨, 2024-12-01 16:57, 9270, 100
澳洲航空, QF1928, 波音787, 悉尼, 2024-12-01 02:06, 纽约, 2024-12-01 19:46, 16377, 32
澳洲航空, QF7501, 空客A320, 悉尼, 2024-12-01 04:07, 柏林, 2024-12-01 22:07, 16686, 16
澳洲航空, QF8831, 空客A350, 悉尼, 2024-12-01 10:59, 南宁, 2024-12-01 18:45, 7210, 66
澳洲航空, QF6919, 空客A330, 悉尼, 2024-12-01 06:01, 纽约, 2024-12-01 23:41, 16377, 22
澳洲航空, QF2310, 波音787, 悉尼, 2024-12-01 07:35, 哈尔滨, 2024-12-01 18:08, 9785, 33
澳洲航空, QF7697, 空客A330, 悉尼, 2024-12-01 04:59, 莫斯科, 2024-12-01 19:52, 13802, 153
澳洲航空, QF7602, 空客A350, 悉尼, 2024-12-01 02:13, 上海, 2024-12-01 11:06, 8240, 127
澳洲航空, QF4714, 波音787, 悉尼, 2024-12-01 03:40, 哈尔滨, 2024-12-01 14:13, 9785, 8
澳洲航空, QF4610, 波音787, 悉尼, 2024-12-01 06:43, 拉萨, 2024-12-01 16:43, 9270, 114
澳洲航空, QF2714, 波音777, 悉尼, 2024-12-01 11:23, 乌鲁木齐, 2024-12-01 23:03, 10815, 118
澳洲航空, QF9268, 波音777, 悉尼, 2024-12-01 14:34, 西安, 2024-12-02 00:00, 8755, 80
澳洲航空, QF2283, 波音737, 悉尼, 2024-12-01 07:55, 曼谷, 2024-12-01 16:15, 7725, 190
澳洲航空, QF4235, 波音777, 悉尼, 2024-12-01 13:29, 上海, 2024-12-01 22:22, 8240, 195
澳洲航空, QF7093, 空客A330, 悉尼, 2024-12-01 15:59, 南宁, 2024-12-01 23:45, 7210, 90
澳洲航空, QF1422, 空客A320, 悉尼, 2024-12-01 11:41, 南宁, 2024-12-01 19:27, 7210, 20
澳洲航空, QF2583, 波音787, 悉尼, 2024-12-01 05:26, 柏林, 2024-12-01 23:26, 16686, 26
美联航, UA2441, 波音737, 纽约, 2024-12-02 02:45, 广州, 2024-12-02 16:11, 12463, 91
美联航, UA9998, 波音777, 纽约, 2024-12-02 05:14, 合肥, 2024-12-02 18:07, 11948, 159
美联航, UA7393, 空客A350, 纽约, 2024-12-02 02:34, 哈尔滨, 2024-12-02 14:00, 10609, 6
美联航, UA1732, 波音737, 纽约, 2024-12-02 08:47, 莫斯科, 2024-12-02 17:07, 7725, 145
美联航, UA4853, 波音737, 纽约, 2024-12-02 02:31, 巴黎, 2024-12-02 08:57, 5974, 120
美联航, UA8394, 空客A350, 纽约, 2024-12-02 04:03, 广州, 2024-12-02 17:29, 12463, 14
美联航, UA2258, 波音777, 纽约, 2024-12-02 05:23, 洛杉矶, 2024-12-02 09:43, 4017, 63
美联航, UA3967, 空客A330, 纽约, 2024-12-02 09:52, 上海, 2024-12-02 22:05, 11330, 57
美联航, UA3496, 空客A320, 纽约, 2024-12-02 07:43, 伦敦, 2024-12-02 13:56, 5768, 100
美联航, UA8625, 空客A330, 纽约, 2024-12-02 07:20, 柏林, 2024-12-02 14:40, 6798, 133
美联航, UA5845, 波音777, 纽约, 2024-12-02 11:32, 西安, 2024-12-02 23:38, 11227, 22
美联航, UA8278, 波音777, 纽约, 2024-12-02 00:31, 莫斯科, 2024-12-02 08:51, 7725, 131
美联航, UA2380, 空客A330, 纽约, 2024-12-02 02:40, 呼和浩特, 2024-12-02 14:26, 10918, 81
美联航, UA9745, 空客A350, 纽约, 2024-12-02 04:42, 悉尼, 2024-12-02 22:22, 16377, 70
美联航, UA6815, 波音737, 纽约, 2024-12-02 03:12, 柏林, 2024-12-02 10:32, 6798, 35
美联航, UA6566, 空客A330, 纽约, 2024-12-02 01:12, 成都, 2024-12-02 13:25, 11330, 107
美联航, UA1175, 波音777, 纽约, 2024-12-02 07:31, 柏林, 2024-12-02 14:51, 6798, 109
美联航, UA6825, 波音737, 纽约, 2024-12-02 01:20, 成都, 2024-12-02 13:33, 11330, 179
美联航, UA3602, 波音777, 纽约, 2024-12-02 17:45, 洛杉矶, 2024-12-02 22:05, 4017, 144
美联航, UA6052, 波音777, 纽约, 2024-12-02 06:52, 拉萨, 2024-12-02 19:25, 11639, 171
美联航, UA4970, 空客A330, 纽约, 2024-12-02 03:11, 洛杉矶, 2024-12-02 07:31, 4017, 141
美联航, UA1613, 波音787, 纽约, 2024-12-02 09:28, 北京, 2024-12-02 21:41, 11330, 141
美联航, UA7263, 波音737, 纽约, 2024-12-02 08:36, 北京, 2024-12-02 20:49, 11330, 44
美联航, UA3705, 空客A350, 纽约, 2024-12-02 15:34, 伦敦, 2024-12-02 21:47, 5768, 149
美联航, UA8318, 空客A350, 纽约, 2024-12-02 03:57, 曼谷, 2024-12-02 19:17, 14214, 197
美联航, UA9229, 空客A320, 纽约, 2024-12-02 07:20, 上海, 2024-12-02 19:33, 11330, 146
美联航, UA9878, 空客A320, 纽约, 2024-12-02 04:20, 西安, 2024-12-02 16:26, 11227, 25
美联航, UA8994, 波音787, 纽约, 2024-12-02 08:32, 伦敦, 2024-12-02 14:45, 5768, 81
美联航, UA2066, 空客A350, 纽约, 2024-12-01 09:22, 哈尔滨, 2024-12-01 20:48, 10609, 130
美联航, UA8921, 波音787, 纽约, 2024-12-01 07:07, 曼谷, 2024-12-01 22:27, 14214, 117
美联航, UA2008, 波音737, 纽约, 2024-12-01 10:44, 西安, 2024-12-01 22:50, 11227, 64
美联航, UA6776, 空客A350, 纽约, 2024-12-01 08:31, 广州, 2024-12-01 21:57, 12463, 13
美联航, UA8483, 空客A350, 纽约, 2024-12-01 03:52, 巴黎, 2024-12-01 10:18, 5974, 173
美联航, UA5382, 波音737, 纽约, 2024-12-01 04:40, 莫斯科, 2024-12-01 13:00, 7725, 83
美联航, UA6607, 空客A350, 纽约, 2024-12-01 09:23, 柏林, 2024-12-01 16:43, 6798, 101
美联航, UA3660, 空客A320, 纽约, 2024-12-01 03:51, 曼谷, 2024-12-01 19:11, 14214, 91
美联航, UA9479, 波音737, 纽约, 2024-12-01 06:35, 莫斯科, 2024-12-01 14:55, 7725, 104
美联航, UA1794, 空客A350, 纽约, 2024-12-01 03:43, 巴黎, 2024-12-01 10:09, 5974, 198
美联航, UA8657, 空客A330, 纽约, 2024-12-01 12:59, 乌鲁木齐, 2024-12-01 23:52, 10094, 24
美联航, UA5862, 波音787, 纽约, 2024-12-01 00:53, 上海, 2024-12-01 13:06, 11330, 64
美联航, UA4987, 空客A330, 纽约, 2024-12-01 16:29, 伦敦, 2024-12-01 22:42, 5768, 186
美联航, UA2005, 空客A330, 纽约, 2024-12-01 01:10, 悉尼, 2024-12-01 18:50, 16377, 106
美联航, UA2763, 波音737, 纽约, 2024-12-01 02:35, 悉尼, 2024-12-01 20:15, 16377, 161
美联航, UA6845, 空客A330, 纽约, 2024-12-01 03:51, 乌鲁木齐, 2024-12-01 14:44, 10094, 159
美联航, UA8597, 空客A330, 纽约, 2024-12-01 08:50, 合肥, 2024-12-01 21:43, 11948, 148
美联航, UA6733, 空客A350, 纽约, 2024-12-01 04:13, 拉萨, 2024-12-01 16:46, 11639, 191
美联航, UA2783, 空客A330, 纽约, 2024-12-01 03:11, 广州, 2024-12-01 16:37, 12463, 110
美联航, UA3679, 空客A330, 纽约, 2024-12-01 07:38, 伦敦, 2024-12-01 13:51, 5768, 19
美联航, UA8708, 空客A320, 纽约, 2024-12-01 11:06, 上海, 2024-12-01 23:19, 11330, 122
美联航, UA9456, 波音777, 纽约, 2024-12-01 09:52, 拉萨, 2024-12-01 22:25, 11639, 127
美联航, UA8239, 波音737, 纽约, 2024-12-01 10:30, 东京, 2024-12-01 22:36, 11227, 97
汉莎航空, LH8651, 波音787, 柏林, 2024-12-02 15:56, 拉萨, 2024-12-02 23:29, 7004, 85
汉莎航空, LH2093, 波音777, 柏林, 2024-12-02 10:54, 乌鲁木齐, 2024-12-02 16:47, 5459, 185
汉莎航空, LH1903, 空客A320, 柏林, 2024-12-02 15:11, 成都, 2024-12-02 23:31, 7725, 36
汉莎航空, LH8333, 空客A330, 柏林, 2024-12-02 19:23, 莫斯科, 2024-12-02 21:09, 1648, 9
汉莎航空, LH3345, 空客A330, 柏林, 2024-12-02 10:16, 曼谷, 2024-12-02 20:09, 9167, 199
汉莎航空, LH2035, 空客A330, 柏林, 2024-12-02 09:51, 成都, 2024-12-02 18:11, 7725, 106
汉莎航空, LH9842, 空客A320, 柏林, 2024-12-02 04:05, 东京, 2024-12-02 13:58, 9167, 129
汉莎航空, LH4253, 空客A330, 柏林, 2024-12-02 15:19, 巴黎, 2024-12-02 16:19, 927, 17
汉莎航空, LH7734, 空客A350, 柏林, 2024-12-02 04:37, 哈尔滨, 2024-12-02 12:10, 7004, 106
汉莎航空, LH4443, 空客A320, 柏林, 2024-12-02 07:28, 哈尔滨, 2024-12-02 15:01, 7004, 81
汉莎航空, LH1441, 波音777, 柏林, 2024-12-02 13:06, 首尔, 2024-12-02 22:12, 8446, 68
汉莎航空, LH3398, 波音737, 柏林, 2024-12-02 10:08, 广州, 2024-12-02 19:41, 8858, 42
汉莎航空, LH8616, 波音787, 柏林, 2024-12-02 12:19, 巴黎, 2024-12-02 13:19, 927, 5
汉莎航空, LH1620, 空客A320, 柏林, 2024-12-02 10:48, 昆明, 2024-12-02 19:48, 8343, 30
汉莎航空, LH4913, 空客A320, 柏林, 2024-12-02 13:03, 曼谷, 2024-12-02 22:56, 9167, 74
汉莎航空, LH7781, 空客A320, 柏林, 2024-12-02 04:06, 广州, 2024-12-02 13:39, 8858, 19
汉莎航空, LH9599, 波音777, 柏林, 2024-12-02 13:33, 洛杉矶, 2024-12-02 23:53, 9579, 41
汉莎航空, LH3924, 空客A320, 柏林, 2024-12-02 08:13, 昆明, 2024-12-02 17:13, 8343, 150
汉莎航空, LH8486, 波音787, 柏林, 2024-12-02 03:46, 北京, 2024-12-02 12:06, 7725, 139
汉莎航空, LH1196, 波音737, 柏林, 2024-12-02 12:08, 合肥, 2024-12-02 21:08, 8343, 104
汉莎航空, LH8718, 空客A320, 柏林, 2024-12-02 06:21, 纽约, 2024-12-02 13:41, 6798, 9
汉莎航空, LH9320, 波音777, 柏林, 2024-12-01 11:42, 东京, 2024-12-01 21:35, 9167, 13
汉莎航空, LH2851, 空客A330, 柏林, 2024-12-01 07:17, 成都, 2024-12-01 15:37, 7725, 166
汉莎航空, LH6430, 波音777, 柏林, 2024-12-01 10:45, 成都, 2024-12-01 19:05, 7725, 77
汉莎航空, LH4766, 空客A320, 柏林, 2024-12-01 03:24, 合肥, 2024-12-01 12:24, 8343, 105
汉莎航空, LH5865, 波音737, 柏林, 2024-12-01 00:52, 悉尼, 2024-12-01 18:52, 16686, 4
汉莎航空, LH4114, 空客A330, 柏林, 2024-12-01 14:03, 莫斯科, 2024-12-01 15:49, 1648, 105
汉莎航空, LH3722, 波音737, 柏林, 2024-12-01 10:37, 曼谷, 2024-12-01 20:30, 9167, 85
汉莎航空, LH2115, 空客A330, 柏林, 2024-12-01 06:55, 东京, 2024-12-01 16:48, 9167, 68
汉莎航空, LH2701, 空客A350, 柏林, 2024-12-01 15:52, 拉萨, 2024-12-01 23:25, 7004, 83
汉莎航空, LH1869, 空客A320, 柏林, 2024-12-01 12:18, 纽约, 2024-12-01 19:38, 6798, 24
汉莎航空, LH8916, 空客A330, 柏林, 2024-12-01 05:39, 悉尼, 2024-12-01 23:39, 16686, 60
汉莎航空, LH6114, 空客A320, 柏林, 2024-12-01 06:32, 洛杉矶, 2024-12-01 16:52, 9579, 80
汉莎航空, LH5990, 空客A350, 柏林, 2024-12-01 06:22, 首尔, 2024-12-01 15:28, 8446, 16
汉莎航空, LH4657, 波音737, 柏林, 2024-12-01 12:23, 拉萨, 2024-12-01 19:56, 7004, 92
汉莎航空, LH9131, 波音787, 柏林, 2024-12-01 14:54, 伦敦, 2024-12-01 15:57, 978.5, 120
汉莎航空, LH5783, 波音777, 柏林, 2024-12-01 01:39, 合肥, 2024-12-01 10:39, 8343, 81
汉莎航空, LH8166, 波音787, 柏林, 2024-12-01 08:50, 上海, 2024-12-01 18:16, 8755, 17
南方航空, CZ7094, 波音737, 上海, 2024-12-02 02:31, 南宁, 2024-12-02 04:24, 1751, 75
东方航空, MU1381, 波音737, 上海, 2024-12-02 00:02, 北京, 2024-12-02 01:15, 1133, 47
汉莎航空, LH9331, 空客A320, 上海, 2024-12-02 11:56, 北京, 2024-12-02 13:09, 1133, 150
东方航空, MU6421, 波音737, 上海, 2024-12-02 04:58, 首尔, 2024-12-02 05:58, 927, 166
海南航空, HU8986, 波音787, 上海, 2024-12-02 06:27, 巴黎, 2024-12-02 16:53, 9682, 21
汉莎航空, LH1674, 波音787, 上海, 2024-12-02 21:17, 南宁, 2024-12-02 23:10, 1751, 37
南方航空, CZ2927, 波音737, 上海, 2024-12-02 00:19, 西安, 2024-12-02 01:39, 1236, 124
东方航空, MU4777, 波音737, 上海, 2024-12-02 03:50, 广州, 2024-12-02 05:10, 1236, 2
南方航空, CZ4500, 空客A330, 上海, 2024-12-02 11:36, 哈尔滨, 2024-12-02 13:49, 2060, 42
汉莎航空, LH8134, 波音777, 上海, 2024-12-02 06:30, 巴黎, 2024-12-02 16:56, 9682, 126
东方航空, MU1884, 空客A330, 上海, 2024-12-02 09:43, 曼谷, 2024-12-02 12:43, 2781, 140
海南航空, HU4391, 波音777, 上海, 2024-12-02 16:45, 拉萨, 2024-12-02 20:11, 3193, 169
海南航空, HU8975, 空客A330, 上海, 2024-12-02 02:53, 广州, 2024-12-02 04:13, 1236, 21
海南航空, HU4173, 波音737, 上海, 2024-12-02 14:47, 悉尼, 2024-12-02 23:40, 8240, 109
南方航空, CZ3351, 空客A350, 上海, 2024-12-02 15:22, 呼和浩特, 2024-12-02 17:02, 1545, 47
海南航空, HU6384, 波音737, 上海, 2024-12-02 09:25, 柏林, 2024-12-02 18:51, 8755, 75
南方航空, CZ3629, 波音787, 上海, 2024-12-02 17:02, 成都, 2024-12-02 18:55, 1751, 179
南方航空, CZ9196, 波音777, 上海, 2024-12-01 08:34, 柏林, 2024-12-01 18:00, 8755, 167
东方航空, MU5338, 波音737, 上海, 2024-12-01 07:51, 广州, 2024-12-01 09:11, 1236, 64
海南航空, HU7280, 空客A320, 上海, 2024-12-01 13:24, 乌鲁木齐, 2024-12-01 17:04, 3399, 185
海南航空, HU8852, 波音787, 上海, 2024-12-01 20:05, 合肥, 2024-12-01 20:31, 412, 144
中国国际航空, CA8460, 波音777, 上海, 2024-12-01 12:29, 伦敦, 2024-12-01 22:42, 9476, 197
汉莎航空, LH8141, 空客A320, 上海, 2024-12-01 09:33, 纽约, 2024-12-01 21:46, 11330, 129
南方航空, CZ5224, 空客A320, 上海, 2024-12-01 07:35, 哈尔滨, 2024-12-01 09:48, 2060, 135
海南航空, HU5550, 波音737, 上海, 2024-12-01 08:36, 昆明, 2024-12-01 10:42, 1957, 100
南方航空, CZ8902, 波音777, 上海, 2024-12-01 06:05, 合肥, 2024-12-01 06:31, 412, 183
南方航空, CZ2774, 空客A320, 上海, 2024-12-01 17:50, 首尔, 2024-12-01 18:50, 927, 76
南方航空, CZ1953, 波音777, 上海, 2024-12-01 18:19, 广州, 2024-12-01 19:39, 1236, 179
海南航空, HU5317, 波音777, 上海, 2024-12-01 12:44, 洛杉矶, 2024-12-01 23:50, 10300, 178
中国国际航空, CA4296, 空客A330, 上海, 2024-12-01 14:29, 东京, 2024-12-01 16:29, 1854, 134
中国国际航空, CA4079, 波音787, 上海, 2024-12-01 06:41, 广州, 2024-12-01 08:01, 1236, 108
汉莎航空, LH5396, 波音787, 上海, 2024-12-01 21:10, 西安, 2024-12-01 22:30, 1236, 92
南方航空, CZ8707, 空客A350, 上海, 2024-12-01 10:13, 莫斯科, 2024-12-01 17:53, 7107, 90
海南航空, HU2154, 波音787, 上海, 2024-12-01 12:31, 西安, 2024-12-01 13:51, 1236, 44
海南航空, HU8747, 空客A320, 上海, 2024-12-01 20:11, 乌鲁木齐, 2024-12-01 23:51, 3399, 181
汉莎航空, LH6419, 空客A350, 上海, 2024-12-01 01:32, 合肥, 2024-12-01 01:58, 412, 162
东方航空, MU8152, 空客A350, 上海, 2024-12-01 04:37, 昆明, 2024-12-01 06:43, 1957, 51
东方航空, MU5623, 空客A330, 上海, 2024-12-01 02:54, 合肥, 2024-12-01 03:20, 412, 170
中国国际航空, CA1627, 空客A330, 上海, 2024-12-01 12:10, 东京, 2024-12-01 14:10, 1854, 114
中国国际航空, CA4930, 波音737, 上海, 2024-12-01 11:47, 悉尼, 2024-12-01 20:40, 8240, 144
汉莎航空, LH4870, 波音737, 上海, 2024-12-01 21:59, 西安, 2024-12-01 23:19, 1236, 182
东方航空, MU4111, 空客A330, 上海, 2024-12-01 14:16, 柏林, 2024-12-01 23:42, 8755, 192
南方航空, CZ2142, 波音787, 上海, 2024-12-01 07:46, 合肥, 2024-12-01 08:12, 412, 186
南方航空, CZ6638, 空客A350, 上海, 2024-12-01 18:55, 呼和浩特, 2024-12-01 20:35, 1545, 114
海南航空, HU4729, 波音737, 上海, 2024-12-01 06:26, 成都, 2024-12-01 08:19, 1751, 136
汉莎航空, LH6853, 空客A350, 上海, 2024-12-01 13:13, 巴黎, 2024-12-01 23:39, 9682, 130
中国国际航空, CA6534, 波音777, 上海, 2024-12-01 00:40, 东京, 2024-12-01 02:40, 1854, 118
南方航空, CZ6579, 空客A350, 上海, 2024-12-01 10:16, 东京, 2024-12-01 12:16, 1854, 192
南方航空, CZ4477, 空客A320, 上海, 2024-12-01 19:29, 广州, 2024-12-01 20:49, 1236, 29
美联航, UA9397, 波音787, 洛杉矶, 2024-12-02 02:16, 乌鲁木齐, 2024-12-02 12:02, 9064, 114
美联航, UA3082, 空客A330, 洛杉矶, 2024-12-02 06:41, 哈尔滨, 2024-12-02 17:01, 9579, 191
美联航, UA2582, 波音737, 洛杉矶, 2024-12-02 07:47, 伦敦, 2024-12-02 17:33, 9064, 103
美联航, UA1335, 空客A350, 洛杉矶, 2024-12-02 09:57, 莫斯科, 2024-12-02 20:43, 9991, 162
美联航, UA2973, 波音737, 洛杉矶, 2024-12-02 09:46, 上海, 2024-12-02 20:52, 10300, 68
美联航, UA3827, 波音787, 洛杉矶, 2024-12-02 08:15, 莫斯科, 2024-12-02 19:01, 9991, 82
美联航, UA9282, 空客A320, 洛杉矶, 2024-12-02 10:16, 悉尼, 2024-12-02 23:36, 12360, 128
美联航, UA8948, 波音787, 洛杉矶, 2024-12-02 10:36, 悉尼, 2024-12-02 23:56, 12360, 4
美联航, UA8196, 空客A350, 洛杉矶, 2024-12-02 06:24, 合肥, 2024-12-02 18:10, 10918, 198
美联航, UA6409, 波音787, 洛杉矶, 2024-12-02 05:21, 东京, 2024-12-02 15:07, 9064, 159
美联航, UA5701, 波音777, 洛杉矶, 2024-12-02 08:45, 曼谷, 2024-12-02 23:25, 13596, 60
美联航, UA9363, 波音787, 洛杉矶, 2024-12-02 06:39, 东京, 2024-12-02 16:25, 9064, 176
美联航, UA6286, 波音787, 洛杉矶, 2024-12-02 10:12, 哈尔滨, 2024-12-02 20:32, 9579, 34
美联航, UA2323, 空客A320, 洛杉矶, 2024-12-02 12:18, 巴黎, 2024-12-02 22:24, 9373, 85
美联航, UA9798, 波音777, 洛杉矶, 2024-12-02 04:54, 昆明, 2024-12-02 16:40, 10918, 99
美联航, UA8123, 空客A330, 洛杉矶, 2024-12-02 14:37, 纽约, 2024-12-02 18:57, 4017, 153
美联航, UA4590, 波音737, 洛杉矶, 2024-12-02 18:24, 纽约, 2024-12-02 22:44, 4017, 169
美联航, UA3405, 空客A350, 洛杉矶, 2024-12-02 09:02, 南宁, 2024-12-02 21:35, 11639, 10
美联航, UA9486, 空客A350, 洛杉矶, 2024-12-02 01:02, 乌鲁木齐, 2024-12-02 10:48, 9064, 102
美联航, UA4293, 空客A320, 洛杉矶, 2024-12-02 08:09, 伦敦, 2024-12-02 17:55, 9064, 155
美联航, UA8649, 波音787, 洛杉矶, 2024-12-02 03:39, 广州, 2024-12-02 15:59, 11433, 195
美联航, UA8884, 空客A350, 洛杉矶, 2024-12-02 10:00, 成都, 2024-12-02 21:06, 10300, 108
美联航, UA5820, 波音787, 洛杉矶, 2024-12-02 00:48, 拉萨, 2024-12-02 12:14, 10609, 83
美联航, UA1713, 空客A320, 洛杉矶, 2024-12-02 00:36, 曼谷, 2024-12-02 15:16, 13596, 154
