中国国际航空, CA5032, 乌鲁木齐, 2024-11-01 03:39, 昆明, 2024-11-01 06:25, 2575, 78
俄罗斯航空, XX3776, 莫斯科, 2024-11-01 18:51, 伦敦, 2024-11-01 21:37, 2575, 143
俄罗斯航空, XX5003, 莫斯科, 2024-11-01 05:58, 乌鲁木齐, 2024-11-01 09:18, 3090, 88
俄罗斯航空, XX4668, 莫斯科, 2024-11-01 03:14, 北京, 2024-11-01 09:40, 5974, 8
俄罗斯航空, XX5476, 莫斯科, 2024-11-01 03:52, 巴黎, 2024-11-01 06:38, 2575, 173
俄罗斯航空, XX2408, 莫斯科, 2024-11-01 10:47, 纽约, 2024-11-01 19:20, 7931, 20
俄罗斯航空, XX2974, 莫斯科, 2024-11-01 02:21, 广州, 2024-11-01 11:14, 8240, 165
俄罗斯航空, XX5521, 莫斯科, 2024-11-01 13:24, 东京, 2024-11-01 22:17, 8240, 186
俄罗斯航空, XX3031, 莫斯科, 2024-11-01 11:32, 伦敦, 2024-11-01 14:18, 2575, 62
俄罗斯航空, XX9299, 莫斯科, 2024-11-01 13:20, 广州, 2024-11-01 22:13, 8240, 156
俄罗斯航空, XX9330, 莫斯科, 2024-11-01 06:41, 成都, 2024-11-01 15:34, 8240, 165
俄罗斯航空, XX2599, 莫斯科, 2024-11-01 08:58, 伦敦, 2024-11-01 11:44, 2575, 165
俄罗斯航空, XX9780, 莫斯科, 2024-11-01 20:22, 巴黎, 2024-11-01 23:08, 2575, 104
俄罗斯航空, XX6771, 莫斯科, 2024-11-01 12:52, 呼和浩特, 2024-11-01 16:12, 3090, 102
俄罗斯航空, XX3640, 莫斯科, 2024-11-01 06:22, 乌鲁木齐, 2024-11-01 09:42, 3090, 162
俄罗斯航空, XX7982, 莫斯科, 2024-11-01 09:28, 哈尔滨, 2024-11-01 10:21, 824, 145
俄罗斯航空, XX8183, 莫斯科, 2024-11-01 09:54, 纽约, 2024-11-01 18:27, 7931, 65
俄罗斯航空, XX2600, 莫斯科, 2024-11-01 13:44, 拉萨, 2024-11-01 22:37, 8240, 52
俄罗斯航空, XX5218, 莫斯科, 2024-11-01 19:19, 哈尔滨, 2024-11-01 20:12, 824, 116
