澳洲航空, QF3979, 空客A350, 东京, 2024-12-01 02:07, 巴黎, 2024-12-01 13:00, 10094.0, 54
法国航空, AF6599, 波音737, 巴黎, 2024-12-01 06:32, 纽约, 2024-12-01 12:58, 5974.0, 134
泰国航空, TG3291, 空客A330, 北京, 2024-12-01 18:16, 上海, 2024-12-01 19:29, 1133.0, 129
中国国际航空, CA8552, 空客A330, 昆明, 2024-12-01 05:09, 合肥, 2024-12-01 06:55, 1648.0, 156
汉莎航空, LH3986, 波音787, 柏林, 2024-12-01 04:02, 广州, 2024-12-01 13:35, 8858.0, 133
澳洲航空, QF1500, 波音737, 悉尼, 2024-12-01 08:10, 哈尔滨, 2024-12-01 18:43, 9785.0, 26
澳洲航空, QF2906, 波音787, 悉尼, 2024-12-01 01:46, 广州, 2024-12-01 10:06, 7725.0, 115
中国国际航空, CA1656, 空客A320, 哈尔滨, 2024-12-01 14:57, 北京, 2024-12-01 16:10, 1133.0, 78
南方航空, CZ3019, 空客A320, 南宁, 2024-12-01 06:46, 曼谷, 2024-12-01 07:52, 1030.0, 170
中国国际航空, CA7432, 波音787, 呼和浩特, 2024-12-01 12:47, 曼谷, 2024-12-01 16:53, 3811.0, 87
英国航空, BA7413, 波音737, 伦敦, 2024-12-01 04:07, 广州, 2024-12-01 14:27, 9579.0, 115
南方航空, CZ2616, 空客A320, 南宁, 2024-12-01 21:24, 西安, 2024-12-01 23:24, 1854.0, 5
南方航空, CZ7896, 波音787, 上海, 2024-12-01 10:52, 成都, 2024-12-01 12:45, 1751.0, 163
美联航, UA4380, 波音777, 洛杉矶, 2024-12-01 09:14, 伦敦, 2024-12-01 19:00, 9064.0, 109
南方航空, CZ6301, 波音737, 南宁, 2024-12-01 05:51, 纽约, 2024-12-01 19:31, 12669.0, 85
中国国际航空, CA8439, 波音737, 哈尔滨, 2024-12-01 11:37, 首尔, 2024-12-01 12:40, 978.5, 130
法国航空, AF2416, 空客A320, 巴黎, 2024-12-01 20:42, 莫斯科, 2024-12-01 23:28, 2575.0, 166
美联航, UA5135, 空客A320, 纽约, 2024-12-01 03:22, 洛杉矶, 2024-12-01 07:42, 4017.0, 183
全日空, NH4416, 空客A330, 广州, 2024-12-01 10:06, 悉尼, 2024-12-01 18:26, 7725.0, 169
南方航空, CZ1480, 波音777, 乌鲁木齐, 2024-12-01 14:08, 洛杉矶, 2024-12-01 23:54, 9064.0, 29
南方航空, CZ8905, 波音777, 成都, 2024-12-01 14:45, 乌鲁木齐, 2024-12-01 17:25, 2472.0, 88
中国国际航空, CA5816, 空客A350, 哈尔滨, 2024-12-01 07:01, 纽约, 2024-12-01 18:27, 10609.0, 94
东方航空, MU8415, 空客A350, 广州, 2024-12-01 09:59, 呼和浩特, 2024-12-01 12:45, 2575.0, 136
俄罗斯航空, SU1812, 空客A320, 莫斯科, 2024-12-01 13:05, 纽约, 2024-12-01 21:25, 7725.0, 84
大韩航空, KE2698, 空客A330, 首尔, 2024-12-01 08:18, 悉尼, 2024-12-01 17:38, 8652.0, 134
中国国际航空, CA8688, 空客A320, 成都, 2024-12-01 01:03, 南宁, 2024-12-01 02:29, 1339.0, 64
海南航空, HU1185, 波音777, 西安, 2024-12-01 12:50, 上海, 2024-12-01 14:10, 1236.0, 103
美联航, UA9789, 波音777, 纽约, 2024-12-01 10:05, 北京, 2024-12-01 22:18, 11330.0, 67
美联航, UA6925, 空客A330, 东京, 2024-12-01 05:00, 悉尼, 2024-12-01 13:40, 8034.0, 113
汉莎航空, LH7976, 空客A320, 柏林, 2024-12-01 04:05, 首尔, 2024-12-01 13:11, 8446.0, 177
日本航空, JL4297, 波音737, 东京, 2024-12-01 16:22, 首尔, 2024-12-01 17:42, 1236.0, 4
汉莎航空, LH9721, 波音777, 柏林, 2024-12-01 15:58, 伦敦, 2024-12-01 17:01, 978.5, 162
美联航, UA3976, 波音777, 洛杉矶, 2024-12-01 06:39, 莫斯科, 2024-12-01 17:25, 9991.0, 153
英国航空, BA2360, 空客A350, 伦敦, 2024-12-01 09:33, 上海, 2024-12-01 19:46, 9476.0, 111
法国航空, AF8354, 空客A320, 巴黎, 2024-12-01 03:27, 南宁, 2024-12-01 14:13, 9991.0, 157
汉莎航空, LH2518, 空客A330, 柏林, 2024-12-01 12:23, 西安, 2024-12-01 20:36, 7622.0, 34
澳洲航空, QF6853, 空客A320, 上海, 2024-12-01 01:56, 乌鲁木齐, 2024-12-01 05:36, 3399.0, 130
法国航空, AF1515, 空客A330, 巴黎, 2024-12-01 10:35, 伦敦, 2024-12-01 10:58, 360.5, 35
汉莎航空, LH6718, 波音787, 柏林, 2024-12-01 04:09, 哈尔滨, 2024-12-01 11:42, 7004.0, 34
大韩航空, KE3702, 波音777, 首尔, 2024-12-01 01:05, 成都, 2024-12-01 03:38, 2369.0, 142
泰国航空, TG9969, 波音787, 广州, 2024-12-01 08:00, 洛杉矶, 2024-12-01 20:20, 11433.0, 107
中国国际航空, CA7791, 波音777, 呼和浩特, 2024-12-01 13:18, 悉尼, 2024-12-01 23:38, 9579.0, 184
大韩航空, KE7637, 波音787, 首尔, 2024-12-01 03:23, 合肥, 2024-12-01 04:49, 1339.0, 39
泰国航空, TG6488, 空客A330, 上海, 2024-12-01 15:47, 首尔, 2024-12-01 16:47, 927.0, 94
英国航空, BA1671, 波音787, 东京, 2024-12-01 08:54, 纽约, 2024-12-01 21:00, 11227.0, 157
大韩航空, KE9946, 波音737, 首尔, 2024-12-01 16:30, 东京, 2024-12-01 17:50, 1236.0, 106
泰国航空, TG7960, 波音737, 曼谷, 2024-12-01 10:42, 北京, 2024-12-01 14:22, 3399.0, 128
美联航, UA2826, 空客A320, 上海, 2024-12-01 10:46, 莫斯科, 2024-12-01 18:26, 7107.0, 174
南方航空, CZ7002, 波音787, 成都, 2024-12-01 07:57, 首尔, 2024-12-01 10:30, 2369.0, 177
大韩航空, KE6318, 波音777, 广州, 2024-12-01 09:31, 首尔, 2024-12-01 11:44, 2060.0, 68
南方航空, CZ7183, 波音777, 乌鲁木齐, 2024-12-01 20:58, 呼和浩特, 2024-12-01 22:58, 1854.0, 79
美联航, UA7436, 波音787, 洛杉矶, 2024-12-01 09:59, 西安, 2024-12-01 20:59, 10197.0, 125
